Rank,Region Name,State Name,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2000,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2001,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2002,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2003,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2004,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2005,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2006,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2007,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2008,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2009,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2010,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2011,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2012,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2013,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2014,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2015,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2016,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2017,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2018,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2019,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2020,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2021,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022
11,"San Francisco, CA",CA,359865,361790,364473,371807,381062,389674,397211,403415,410800,417652,424985,432562,392941.3333,438700,444756,451527,459239,465349,469239,472256,475259,477649,478863,479695,479142,465972.8333,478466,478498,480079,483727,487745,493476,499272,505485,510563,514502,518215,521447,497622.9167,524853,528430,532048,535791,537764,539392,541186,545035,549562,555139,560209,565835,542937,573004,581190,591510,600911,610654,619934,629674,638857,648501,657827,668280,678832,624931.1667,689819,701536,712837,725190,737193,748213,756586,764381,772023,780285,785955,789937,746996.25,792384,795881,799957,802065,801368,800017,798210,797588,794539,791088,789218,788716,795919.25,790611,788050,785745,782303,779062,774980,771078,767525,763175,755915,748639,738268,770445.9167,730810,724507,718358,711319,702475,694064,684099,673148,661859,651835,641160,633298,685577.6667,621808,614330,606916,600360,593837,590792,588466,582802,575226,574205,579210,587762,592976.1667,594217,597512,598063,598210,599541,598794,595194,592632,588643,585748,581008,576322,592157,572469,567905,565281,561873,557543,551834,549307,544981,543289,539328,537693,536231,552311.1667,533875,533806,534174,536986,542302,550440,557225,564976,571498,580777,590846,601693,558216.5,616574,629499,644516,657766,673560,686035,696819,704381,712846,722064,733405,747113,685381.5,757348,767967,771715,776715,776283,776101,775056,777159,781681,788266,796379,804968,779136.5,811567,820797,830825,841103,848517,855926,862870,872751,884933,896935,904337,912950,861959.25,925983,937921,940655,942273,943114,945767,940025,936216,934026,940254,945746,952901,940406.75,957684,963183,968099,972909,978193,984060,991244,998081,1009316,1019877,1034061,1047475,993681.8333,1061793,1072517,1085492,1100254,1114627,1125941,1133461,1142032,1145790,1147195,1142916,1133127,1117095.417,1124928,1120958,1119572,1119063,1118490,1117931,1117377,1114784,1114527,1113058,1113327,1117073,1117590.667,1125827,1133560,1144461,1145780,1136200,1125997,1127192,1143113,1155674,1166534,1175082,1181345,1146730.417,1186159,1195562,1210917,1231852,1260551,1293741,1327543,1348452,1360757,1365242,1375075,1386230,1295173.417,1403429,1426325,1454737,1479750,1494103,1492535,1458479.833
12,"Detroit, MI",MI,142197,142507,143061,144078,145244,146382,147688,148845,149821,150611,151615,152689,147061.5,153738,154583,155342,156045,156818,157550,158246,158968,159740,160468,161070,161687,157854.5833,162395,163025,163507,163817,164101,164524,164838,165266,165584,166093,166547,167040,164728.0833,167520,167998,168241,168611,169039,169562,169873,170210,170660,171289,171852,172394,169770.75,172926,173297,173752,174038,174509,174929,175411,175884,176323,176808,177173,177564,175217.8333,177972,178238,178478,178675,179047,179239,179316,179479,179793,180143,180377,180593,179279.1667,180824,181064,181114,180986,180711,180372,179927,179325,178626,177851,177046,176113,179496.5833,174953,173749,172446,171400,170181,169185,168044,167043,165533,163775,162049,160703,168255.0833,159291,157665,155509,152869,149944,146997,143846,140193,136961,134730,132748,129860,145051.0833,125643,121446,117770,115287,113452,111730,110544,109133,107905,106043,104483,103029,112205.4167,102420,101558,101067,100620,100800,101230,100990,100521,99598,98765,97609,96457,100136.25,95164,94276,93576,92930,92294,91557,91086,90847,90883,90931,90861,90675,92090,90446,90210,90620,91110,92064,93060,94414,95400,96007,96773,97588,98397,93840.75,99108,100289,101832,103522,105295,107159,109248,111373,113470,115281,116909,118577,108505.25,120326,121922,123201,124324,125378,126655,127664,128211,128233,128293,128686,129264,126013.0833,130017,130924,131957,132894,133572,134150,134539,134869,134917,135083,135415,136239,133714.6667,137168,138268,139008,140503,141901,143420,144271,144806,145499,146312,147170,147899,143018.75,148879,150145,151605,152990,154536,155872,156534,157020,157587,158366,159362,160339,155269.5833,161910,163577,165357,167046,168432,169607,170304,170799,171534,172227,173142,174114,169004.0833,175206,176262,176900,177488,178335,179138,179659,179670,179797,179915,180229,180578,178598.0833,181553,182763,184775,186360,186680,185709,185379,186853,189524,192525,195484,198405,188000.8333,200682,203116,205335,207536,210367,214049,217869,221170,223397,225518,226565,228246,215320.8333,230663,233513,236432,239351,241951,243922,237638.6667
13,"Riverside, CA",CA,143984,144725,145365,146665,147837,149056,150236,151634,153003,154472,155805,157142,149993.6667,158503,159611,160941,162252,163753,165212,166921,168921,170771,172421,173912,175559,166564.75,177035,178310,179478,180785,182436,184655,187121,190175,193172,196105,198856,201351,187456.5833,203894,205875,208222,211068,214651,218243,221808,225729,229517,233684,237649,241784,221010.3333,245311,249400,254365,260032,265763,272714,280689,290474,298245,305477,310554,317758,279231.8333,323230,329991,334896,342688,348006,353928,358794,365221,371662,377486,382374,386254,356210.8333,390194,393924,398258,401813,405098,407936,410042,411801,413076,413934,414191,413818,406173.75,413328,413630,412451,410335,406276,402121,397442,391520,384843,378043,371783,365925,395641.4167,360020,351737,340351,327333,315027,303706,291101,278894,267517,259426,250788,241844,298978.6667,232821,227936,224171,220276,214984,211864,209501,207160,203891,202035,202386,204148,213431.0833,206415,207073,207825,208512,209989,210324,210014,208352,207966,206570,206850,206820,208059.1667,207268,206683,205808,204517,203901,202338,201249,199976,199202,198404,198205,197956,202125.5833,198006,197252,197181,197552,198418,199644,201060,203560,206551,208776,210698,212884,202631.8333,216572,220029,224014,228040,233267,238639,243935,247615,252739,259059,266093,271302,241775.3333,275606,279959,283006,284685,286477,288176,289073,289638,289734,291122,291762,292701,286828.25,293536,294728,295864,297521,298643,300168,300791,302271,303874,305608,307037,308799,300736.6667,310725,312326,313970,315551,317572,318920,320381,321986,323057,324288,325174,326649,319216.5833,328387,329939,331894,334268,336490,339229,339892,341882,343421,346335,348214,350166,339176.4167,352474,355979,359124,361903,364580,366778,368545,369594,370832,371605,372377,372665,365538,374247,375388,377111,378089,378874,379260,379560,380129,380304,381842,382643,384897,379362,385494,387071,388548,390926,392251,393164,395459,400079,405764,411350,417237,423599,399245.1667,429736,436187,443365,452710,464348,477470,492542,506354,518099,525134,529632,534591,484180.6667,544323,555745,568437,577502,585191,590650,570308
14,"Phoenix, AZ",AZ,143277,143655,144110,145005,145898,146574,147300,147988,148818,149530,150243,150944,146945.1667,151642,152330,153013,153680,154334,154974,155557,156157,156759,157440,158165,158792,155236.9167,159309,159762,160329,160928,161460,162120,162837,163770,164428,165109,165660,166376,162674,167037,167770,168364,169065,169733,170510,171265,172132,173189,174213,175074,175768,171176.6667,176397,177290,178405,179740,181376,183090,,,191335,194150,196966,200878,185962.7,205037,,215734,221981,228883,238359,248703,258621,269070,277657,286087,290322,249132.1818,291910,295944,300779,306353,308213,308911,307762,305183,301659,300206,297729,295611,301688.3333,293076,291737,291091,290920,290637,289319,287118,284242,281021,278013,273608,269180,284996.8333,264547,258821,253008,245637,240723,235508,229843,222353,215326,209861,202486,195080,231099.4167,188363,185119,181773,178314,174097,170957,168484,166416,164481,161673,161397,161485,171879.9167,162145,160998,159734,159364,158557,157810,154928,152882,150025,148691,146843,145069,154753.8333,142689,140864,139890,138327,136760,134954,134419,134239,134275,134469,134571,135896,136779.4167,136739,138035,138602,141232,145124,149343,152892,156233,160128,163671,167084,169083,151513.8333,171846,173703,176377,177991,180014,182850,186648,189706,192106,193753,194193,195729,184576.3333,197817,200966,201814,201400,201149,201378,201327,201379,201046,201367,202354,203676,201306.0833,204437,205110,207032,208981,210803,211544,213130,214524,216412,217417,218131,218708,212185.75,220654,222434,223830,224814,225858,226833,227020,227660,228760,230523,232134,232942,226955.1667,233756,235124,236928,238280,239377,240519,242267,243244,244713,246018,247369,248170,241313.75,249637,251937,254268,256095,257636,258967,260438,261937,263831,265042,266103,267088,259414.9167,268472,269768,271150,272020,272822,273614,274737,276620,278246,279927,281522,283573,275205.9167,285605,287688,290721,294851,297583,299329,301341,305774,311055,316364,321752,327921,303332,335183,341526,350187,357014,368950,380426,393569,403911,412167,419921,426139,432270,385105.25,438068,446739,455932,467394,476113,482463,461118.1667
15,"Seattle, WA",WA,219668,220696,221542,223201,224850,226229,227722,228762,229683,230460,231408,232659,226406.6667,234028,235483,236926,238176,239014,239896,240651,241742,242459,243483,244297,245571,240143.8333,246495,247557,248468,249337,249955,250358,250871,251604,252277,252992,253603,253821,250611.5,254551,255216,256707,257894,259522,260879,262197,263661,264993,266361,267235,268591,261483.9167,270249,272102,273753,275718,278281,281394,284122,286603,288893,291159,293641,296468,282698.5833,299712,302308,305566,309239,313671,318867,324455,330776,335900,340552,344932,349372,322945.8333,352682,357181,361672,367516,372735,377854,382771,387172,390835,394104,396034,397031,378132.25,397410,398946,402224,406320,409084,410520,410753,411726,411892,410220,407226,404608,406744.0833,402565,400061,397217,393327,389145,384483,380680,375724,370856,366165,362184,357553,381663.3333,353459,349036,344893,339081,334276,330171,327991,325896,324221,323120,322824,322600,333130.6667,320664,318894,316993,317405,317826,316961,314320,310428,307168,303123,299579,296255,311634.6667,293971,292413,290059,287631,283124,279993,276589,274358,271583,268999,266900,264931,279212.5833,263611,261494,260898,260820,262898,265524,268519,270753,272794,275333,278536,281362,268545.1667,283420,286788,290901,295898,300188,303685,307365,310724,314033,316616,318852,321588,304171.5,325001,328072,329567,330385,330778,333140,334451,335440,335417,336898,339002,342255,333367.1667,346141,349300,352293,354334,357488,359624,362016,365119,368383,371594,374818,378485,361632.9167,382108,386785,391589,396427,399976,403124,406264,408771,411269,413650,417744,422904,403384.25,428517,434211,439172,444479,448997,453568,458044,462009,465577,470150,474473,480329,454960.5,487015,495239,502948,508291,511212,511843,510889,510425,511824,513327,514669,514741,507701.9167,515659,515058,514531,512523,511446,509963,509796,510676,511842,513277,516750,522483,513667,529564,535515,541545,545892,545905,545374,547062,555020,564284,574937,584177,591091,555030.5,598149,605567,614697,625051,637152,654845,670596,684024,692365,699991,711000,722585,659668.5,736370,749430,767272,785866,795185,793263,771231
16,"Minneapolis-St Paul, MN",MN,156302,157082,157677,159084,160403,161936,163548,166088,168378,170706,172287,174271,163980.1667,176058,177756,179561,181474,183225,184922,186717,188888,191184,193603,195746,197453,186382.25,198799,199931,201061,202131,203755,205270,206971,208399,209969,211479,213031,214804,206300,216530,218132,219652,221162,222781,224216,225740,227184,228750,230137,231647,233122,224921.0833,234528,236013,237440,239221,240970,242913,244583,246102,247572,248881,249951,251046,243268.3333,252572,254279,255585,257135,258755,260437,261589,262356,263283,264146,265251,265988,260114.6667,266467,266808,267061,267574,267885,268401,268377,268174,267437,266915,266253,265992,267278.6667,265854,265902,265571,265048,264284,263534,262363,261329,260090,259088,257491,255466,262168.3333,253011,250167,247566,245344,243720,242462,240771,238222,235193,232117,229443,226885,240408.4167,224382,221993,219250,217097,215943,215725,215698,215643,215179,214380,213428,213072,216815.8333,213029,213438,214281,215085,215620,215259,214389,212577,210109,207514,205383,202929,211634.4167,200811,198341,196957,195160,193487,191498,189679,188165,186747,185479,184116,182666,191092.1667,181657,181192,181907,182767,183741,184881,186172,187676,189168,190981,192844,194628,186467.8333,196538,198060,199709,201162,203680,205948,208342,210276,212205,213905,215317,216528,206805.8333,218191,220371,223337,225652,227046,227304,227125,226487,225692,224924,224683,225160,224664.3333,225877,227911,229936,232038,232789,232934,233158,233355,233925,234280,235127,236312,232303.5,238175,240358,242379,243818,244195,244429,244910,246035,247009,248089,249220,250625,244936.8333,252023,253725,255733,257956,259811,261062,261899,262375,263077,263752,265109,267026,260295.6667,269468,272040,274259,276134,277384,278160,278775,279866,281116,282488,283681,285224,278216.25,286810,288201,288675,289103,289514,290247,290690,290986,291778,292893,294305,295963,290763.75,297375,298854,300071,301427,302240,302778,303606,305778,308814,312735,316528,319994,305850,323489,326425,329708,332070,336010,340724,346539,350608,353396,355134,357328,360307,342644.8333,363212,366681,370117,374098,377322,379145,371762.5
17,"San Diego, CA",CA,228084,229326,230670,233669,236544,240272,244138,248299,251952,255151,258521,261411,243169.75,263945,267148,271383,276542,280742,283764,285953,288203,290879,293751,296621,298746,283139.75,300964,303140,306131,309586,313887,318458,323981,329751,335684,341702,347111,353199,323632.8333,358131,362992,368067,373493,379559,384346,390447,395626,402396,408126,413984,415515,387723.5,420502,427929,438490,447042,455887,471087,484982,498027,507254,517030,524519,531063,476984.3333,534875,538647,545336,553701,561982,564700,565721,566893,567951,568652,568725,568786,558830.75,570595,570077,570495,569663,571441,570611,567672,563109,559357,556677,555509,553641,564903.9167,552322,549952,543983,538146,531780,527809,522349,518936,513927,509399,503144,498976,525893.5833,492519,484620,475629,468917,460590,452157,441890,432448,420975,411677,403105,397685,445184.3333,392634,389958,388569,383600,380739,374422,373704,370486,371931,372415,376655,380223,379611.3333,383790,385465,387691,391717,392299,392020,389061,386934,383485,378944,375448,374365,385101.5833,373672,372858,370096,368734,367068,366483,364654,360834,357072,354302,353614,352532,363493.25,353490,354487,355593,355038,355768,358398,361009,363450,365499,368782,372668,380089,362022.5833,386630,393127,399128,406008,412839,421196,429870,438245,442371,445067,448024,451508,422834.4167,457879,465497,466444,464778,460910,460792,461147,458507,458886,459742,464327,466295,462100.3333,466760,467420,472342,476000,479777,479903,479043,479789,482236,486856,490470,495416,479667.6667,503289,506575,505843,505286,506711,510085,508583,510983,513978,520249,523501,526247,511777.5,526347,529469,533477,538830,543995,547828,549334,550314,552744,558095,561551,565459,546453.5833,571542,578096,582301,582096,581515,582594,584668,587767,588954,591231,592164,591815,584561.9167,588058,585707,585345,588385,590016,591894,594169,596160,596732,597292,599317,601839,592909.5,604795,608040,613696,617639,620564,620805,624389,631080,641202,652258,664359,675015,631153.5,684467,692873,703143,717226,738294,762559,786486,801175,810926,815679,823239,834608,764222.9167,855110,875483,898759,918222,931547,931006,901687.8333
18,"St. Louis, MO",MO,116327,116550,116817,117395,117981,118625,119357,120203,121025,121817,122761,123557,119367.9167,124063,124380,124843,125612,126429,127267,128058,128714,129446,130184,131028,131879,127658.5833,132668,133445,134088,134728,135410,136205,137068,137812,138584,139376,140258,141035,136723.0833,141802,142564,143291,143978,144761,145681,146599,147550,148613,149807,150756,151701,146425.25,152470,153219,153798,154412,155273,156152,157154,157927,158534,159056,159668,160457,156510,161215,161899,162606,163305,164169,164941,165715,166497,167337,168185,168942,169687,165374.8333,170341,170996,171543,172094,172588,173014,173409,173620,173858,174141,174540,174783,172910.5833,174955,174931,174979,175008,175055,175117,175105,174978,174691,174298,173773,173240,174677.5,172684,172443,172089,171389,170602,169811,169347,168790,168272,167551,166747,165854,169631.5833,165082,164540,164330,164009,163398,162432,161481,160671,159970,159626,159693,159966,162099.8333,160158,159806,159513,159482,159684,159504,158909,158122,157307,156282,155302,154193,158188.5,153171,152265,151409,150598,149644,148867,147937,146906,145987,145110,144301,143441,148303,142839,142421,142424,142776,143304,143521,143402,143252,143224,143003,143077,143190,143036.0833,143980,144390,144846,145149,145563,145935,146024,146166,146114,146384,146388,146511,145620.8333,146235,146222,146309,146903,147886,148884,149638,149944,150072,150182,150247,150422,148578.6667,150345,150635,150963,151743,152323,152919,153302,153715,154074,154434,154682,155226,152863.4167,155725,156413,156905,157477,158085,158783,159473,159908,160436,161202,162172,162879,159121.5,163475,164156,164951,165690,166108,166564,167030,167820,168713,169508,170045,170497,167046.4167,171057,171623,172383,172975,173580,173867,174386,175019,175601,176378,177123,178129,174343.4167,179251,180514,181418,181739,181882,181962,182087,182146,182374,182765,183214,184065,181951.4167,184848,185788,186196,186764,186900,187612,188810,190765,192923,195078,197268,199329,190190.0833,201393,203234,205586,208171,211594,215331,218949,221326,222626,223562,225206,227455,215369.4167,230295,233611,237269,240105,242594,243935,237968.1667
19,"Tampa, FL",FL,103670,103878,104160,104846,105650,106470,107164,107936,108741,109519,110263,111030,106943.9167,111768,112594,113330,114185,114920,115708,116522,117361,118271,119143,120058,121041,116241.75,122048,122982,123948,124974,126032,127036,128013,129093,130120,131120,132108,133238,127559.3333,134410,135623,136819,138144,139512,140793,142117,143431,144826,146293,147629,149003,141550,150116,151371,152827,154494,156297,158337,160850,163628,166395,168708,170854,173021,160574.8333,175536,178375,181446,185244,188935,192925,196883,201215,205964,209913,213649,216700,195565.4167,219617,222709,226426,230765,233784,235991,237002,238606,239051,238709,237351,235234,232937.0833,234198,233508,233173,232465,231318,229362,226238,222721,219496,216036,213221,209560,225108,206288,202193,198875,195487,192218,189029,185846,182527,179186,175695,171827,168177,187279,164991,162113,159506,156486,154082,151676,149862,147722,145901,144349,143781,143128,151966.4167,142954,142724,142557,142297,141992,141563,140557,139274,137637,136090,134379,133082,139592.1667,131443,129528,127743,125945,124547,122984,121739,120631,119948,119821,119768,119635,123644.3333,119142,119091,119251,119671,120007,120445,121171,122060,122819,123718,124380,125600,121446.25,126910,128535,129811,131054,132697,134480,136544,138293,140096,141834,143455,144956,135722.0833,145725,146644,147533,148498,149406,150041,150693,150850,151395,152562,153989,155428,150230.3333,156293,157380,157897,158748,159204,160188,161072,162073,163210,164482,165768,167284,161133.25,168955,170939,172572,173985,175258,176254,177381,178582,180012,181085,182790,184534,176862.25,186213,187105,187968,189597,191236,192951,194238,195848,197162,198479,199811,201160,193480.6667,202467,204136,206163,208024,209191,210180,211064,212214,213499,214863,216270,217876,210495.5833,219484,220212,220565,220914,221564,221952,222564,223052,223552,224073,225096,226130,222429.8333,227378,228731,230526,232201,233362,234543,235878,238475,241252,244457,248166,252112,237256.75,256520,260616,264922,269258,274501,282350,291515,300519,308194,314632,321366,326944,289278.0833,334750,342355,352653,363659,374572,382776,358460.8333
20,"Baltimore, MD",MD,157107,157285,157614,158242,158958,159633,160209,160919,161592,162349,162878,163473,160021.5833,164002,164485,164865,165500,166215,167175,168069,169211,170329,171313,172156,173054,168031.1667,174175,175484,176742,178022,179596,181421,183322,185163,186977,188846,190675,192591,182751.1667,194315,196004,197687,199672,201744,204170,206728,209442,212034,214608,217133,219719,206104.6667,222099,224408,226638,229635,233355,237456,241131,245624,250074,254694,258855,262799,240564,266432,269088,272380,276533,281546,287008,292840,299199,303917,308187,311207,314779,290259.6667,317585,320764,323782,327514,330904,334101,336434,337675,338853,339380,339378,338868,332103.1667,338809,339336,339862,340274,340508,340602,340297,340163,339758,339037,336773,334386,339150.4167,332474,331713,331100,329371,327164,324368,321182,317666,314326,311410,309079,306405,321354.8333,303817,301355,299051,296398,293220,290848,289110,288069,286493,285211,284014,283180,291730.5,282644,282239,282065,282406,283056,283138,282111,279631,276983,274348,271888,269239,279145.6667,267113,265839,265105,263926,262856,261807,260417,258747,257059,256013,254878,254068,260652.3333,253073,252890,253149,253888,254290,254252,254130,253856,253842,253956,254605,255047,253914.8333,255873,256850,258667,260206,261896,263175,264508,265350,266431,267584,269525,270877,263411.8333,272013,272554,272803,273460,273253,273051,272141,271827,271216,270908,270658,270730,272051.1667,270777,270885,271150,270996,271078,270690,270399,269949,270319,270602,270556,270886,270690.5833,271457,272629,273060,274072,275030,275565,276069,276153,277196,277813,279148,280280,275706,281447,282018,282564,283790,284533,285092,284553,284256,284335,284986,286227,287552,284279.4167,288799,289799,290980,291971,292701,293053,293704,294288,294847,294956,295465,295685,293020.6667,296331,296908,297423,297762,297960,298015,298216,298061,297837,297455,297605,298215,297649,299126,299591,300429,300896,301498,302139,303886,306573,309687,313199,316735,320542,306191.75,323343,326692,330042,334009,337511,341631,345835,349345,351571,353180,355550,357859,342214,360892,364205,368204,371973,374874,377062,369535
21,"Denver, CO",CO,197090,198426,199584,202162,204582,207152,209554,212188,214913,217568,220250,222776,208853.75,225409,227757,230181,232450,234503,236174,237913,239627,241158,242357,243395,244132,236254.6667,244437,244947,245852,246936,247958,248727,249527,249894,250303,250741,251288,251551,248513.4167,251561,251624,252085,252374,252313,252093,252132,252258,252502,252742,253469,254136,252440.75,254545,254659,254857,255462,256132,256834,257426,258026,258116,258398,258594,259464,256876.0833,260276,260813,261194,261502,262168,262624,263219,263640,263906,264286,264626,265116,262780.8333,265546,265688,265898,265939,266442,266745,266761,266805,266206,265582,264754,264460,265902.1667,264150,263342,262913,262830,263337,263660,263870,263781,263047,261875,260352,258466,262635.25,256950,255673,254851,253971,252996,252277,250921,249774,248860,248308,247595,246638,251567.8333,245721,245349,245294,245264,245265,245121,244724,244394,244183,244393,244488,244792,244915.6667,245653,246945,247953,248114,247638,246666,245551,244182,242804,241425,240398,239568,244741.4167,238860,237926,236976,236329,235175,234355,233535,233329,233272,233228,233268,233228,234956.75,233454,233898,234447,235458,237180,239456,241750,243403,245159,246967,249051,250979,240933.5,253249,255878,258594,260808,262641,264625,267107,269778,272125,273993,275661,277890,266029.0833,279871,282160,283603,285223,286964,288829,290814,292114,293965,296191,299183,302466,290115.25,306498,310743,314680,318161,321187,324216,326939,330198,333666,337521,341227,345112,325845.6667,348245,351715,355004,358423,361090,363076,365317,367484,369581,371798,374608,377872,363684.4167,381300,384975,388667,391803,394051,395921,397091,398223,400047,402690,405506,408758,395752.6667,411616,414442,416756,419605,422377,424790,426758,428666,430885,433036,435545,436887,425113.5833,437918,439075,440136,441006,440528,440353,439966,440269,440695,441451,442396,444280,440672.75,447135,449306,451159,452657,454085,455105,456526,459696,464065,469363,475083,481094,459606.1667,487420,494223,501850,510494,522114,535427,549188,559170,566382,572581,580176,589414,539036.5833,599409,610749,623934,636286,645175,646474,627004.5
22,"Pittsburgh, PA",PA,88997,89226,89439,89815,90246,90584,90994,91251,91624,91859,92165,92496,90724.66667,92915,93378,93778,94234,94613,95044,95501,95984,96415,96749,97075,97438,95260.33333,97779,98198,98634,99078,99508,99775,100229,100857,101409,101844,101974,102218,100125.25,102595,102877,103116,103376,104084,105197,106094,106600,106667,106746,106562,106711,105052.0833,106639,107193,107649,108051,108478,108956,109644,110079,110499,110978,111497,111933,109299.6667,112373,112257,112363,112857,113745,114484,114909,115474,115797,116075,116349,116686,114447.4167,116983,117236,117598,117939,118293,118706,118926,118937,118826,118907,119039,119177,118380.5833,119256,119447,119606,119603,119718,119771,120166,120441,120888,121163,121440,121538,120253.0833,121615,121503,121363,121431,121460,121485,121369,121277,121288,121217,121141,120596,121312.0833,120120,120193,120469,120738,120853,121112,121369,121133,120926,120993,121575,122351,120986,123130,123885,124846,125834,126428,126576,126432,126210,126084,125646,125245,124647,125413.5833,124494,124273,124116,123714,123476,123158,122980,122902,123070,122972,122845,122668,123389,122732,122816,122960,123272,123876,124399,124654,124791,124897,125111,125139,125467,124176.1667,125705,126202,126327,126648,126882,127349,127860,128225,128498,128621,128805,128891,127501.0833,129212,129732,130428,130890,131036,131146,131399,131686,131937,132070,132285,132667,131207.3333,132891,133064,133236,133753,134539,135237,135698,136055,136409,136817,137047,137350,135174.6667,138063,139087,139938,140459,140618,140980,141166,141607,141663,141901,142016,142611,140842.4167,142517,142684,142901,143849,144574,145038,145507,146145,146868,147423,147925,148407,145319.8333,149012,149360,150565,151761,152972,153434,153861,154379,154857,155408,155915,156466,153165.8333,157154,158093,158712,158984,159601,160328,160968,161179,161279,161762,162560,163510,160344.1667,164034,164400,165159,165946,165967,166043,166939,169049,171578,174109,176505,178574,169025.25,181046,182486,184153,186000,190321,194472,197868,199629,200604,201516,202196,203683,193664.5,205564,208392,210554,212442,212808,213074,210472.3333
