Year,Total Number of households,One,Two,Three,Four,Five,Six,Seven or More,Percentage of households with one persons,Percentage of households with two persons,Percentage of households with three persons,Percentage of households with four persons,Percentage of households with five persons,Percentage of households with six persons,Percentage of households with seven or more persons,Average number of people per household
2012,121084,33188,40983,19241,16049,7271,2734,1617,27.41,33.85,15.89,13.25,6.00,2.26,1.34,3.11
2013,122459,33570,41503,19283,16361,7425,2735,1581,27.41,33.89,15.75,13.36,6.06,2.23,1.29,3.14
2014,123229,34185,41589,19369,16244,7454,2774,1614,27.74,33.75,15.72,13.18,6.05,2.25,1.31,3.19
2015,124587,34866,41881,19309,16464,7517,2820,1729,27.99,33.62,15.50,13.21,6.03,2.26,1.39,3.23
2016,125819,35388,42785,19423,16267,7548,2813,1596,28.13,34.01,15.44,12.93,6.00,2.24,1.27,3.28
2017,126224,35252,43509,19509,16212,7319,2798,1624,27.93,34.47,15.46,12.84,5.80,2.22,1.29,3.30
2018,127586,35740,44038,19333,16468,7442,2851,1714,28.01,34.52,15.15,12.91,5.83,2.23,1.34,3.31
2019,128579,36479,44373,19374,16413,7429,2909,1602,28.37,34.51,15.07,12.76,5.78,2.26,1.25,3.33
2020,128451,36198,44742,19337,16262,7446,2919,1546,28.18,34.83,15.05,12.66,5.80,2.27,1.20,3.33
2021,129931,36972,45515,19523,16098,7577,2635,1611,28.46,35.03,15.03,12.39,5.83,2.03,1.24,3.31
,,,,,,,,,,,,,,,,3.36
,,,,,,,,,,,,,,,,3.33
