Date,Population
1959-01-01,176045
1959-04-01,176727
1959-07-01,177481
1959-10-01,178268
1960-01-01,179319
1960-04-01,180401
1960-07-01,181301
1960-10-01,182019
1961-01-01,182634
1961-04-01,183337
1961-07-01,184103
1961-10-01,184894
1962-01-01,185553
1962-04-01,186203
1962-07-01,186926
1962-10-01,187680
1963-01-01,188299
1963-04-01,188906
1963-07-01,189631
1963-10-01,190362
1964-01-01,190954
1964-04-01,191560
1964-07-01,192256
1964-10-01,192938
1965-01-01,193467
1965-04-01,193994
1965-07-01,194647
1965-10-01,195279
1966-01-01,195763
1966-04-01,196277
1966-07-01,196877
1966-10-01,197481
1967-01-01,197967
1967-04-01,198455
1967-07-01,199012
1967-10-01,199572
1968-01-01,199995
1968-04-01,200452
1968-07-01,200997
1968-10-01,201538
1969-01-01,201955
1969-04-01,202419
1969-07-01,202986
1969-10-01,203584
1970-01-01,204086
1970-04-01,204721
1970-07-01,205419
1970-10-01,206130
1971-01-01,206763
1971-04-01,207362
1971-07-01,208000
1971-10-01,208642
1972-01-01,209142
1972-04-01,209637
1972-07-01,210181
1972-10-01,210737
1973-01-01,211192
1973-04-01,211663
1973-07-01,212191
1973-10-01,212708
1974-01-01,213144
1974-04-01,213602
1974-07-01,214147
1974-10-01,214700
1975-01-01,215135
1975-04-01,215652
1975-07-01,216289
1975-10-01,216848
1976-01-01,217314
1976-04-01,217776
1976-07-01,218338
1976-10-01,218917
1977-01-01,219427
1977-04-01,219956
1977-07-01,220573
1977-10-01,221201
1978-01-01,221719
1978-04-01,222281
1978-07-01,222933
1978-10-01,223583
1979-01-01,224152
1979-04-01,224737
1979-07-01,225418
1979-10-01,226117
1980-01-01,226754
1980-04-01,227389
1980-07-01,228071
1980-10-01,228690
1981-01-01,229155
1981-04-01,229674
1981-07-01,230301
1981-10-01,230904
1982-01-01,231395
1982-04-01,231906
1982-07-01,232498
1982-10-01,233074
1983-01-01,233546
1983-04-01,234028
1983-07-01,234603
1983-10-01,235153
1984-01-01,235605
1984-04-01,236082
1984-07-01,236657
1984-10-01,237233
1985-01-01,237673
1985-04-01,238176
1985-07-01,238789
1985-10-01,239387
1986-01-01,239861
1986-04-01,240368
1986-07-01,240962
1986-10-01,241539
1987-01-01,242009
1987-04-01,242520
1987-07-01,243120
1987-10-01,243721
1988-01-01,244208
1988-04-01,244717
1988-07-01,245354
1988-10-01,245966
1989-01-01,246460
1989-04-01,247017
1989-07-01,247698
1989-10-01,248374
1990-01-01,248936
1990-04-01,249711
1990-07-01,250595
1990-10-01,251482
1991-01-01,252257
1991-04-01,253063
1991-07-01,253965
1991-10-01,254835
1992-01-01,255585
1992-04-01,256439
1992-07-01,257386
1992-10-01,258277
1993-01-01,259039
1993-04-01,259826
1993-07-01,260714
1993-10-01,261547
1994-01-01,262250
1994-04-01,263021
1994-07-01,263870
1994-10-01,264678
1995-01-01,265388
1995-04-01,266142
1995-07-01,267001
1995-10-01,267820
1996-01-01,268487
1996-04-01,269251
1996-07-01,270128
1996-10-01,270992
1997-01-01,271709
1997-04-01,272487
1997-07-01,273391
1997-10-01,274246
1998-01-01,274950
1998-04-01,275703
1998-07-01,276564
1998-10-01,277400
1999-01-01,278103
1999-04-01,278864
1999-07-01,279751
1999-10-01,280592
2000-01-01,281304
2000-04-01,282002
2000-07-01,282769
2000-10-01,283519
2001-01-01,284169
2001-04-01,284837
2001-07-01,285583
2001-10-01,286311
2002-01-01,286935
2002-04-01,287574
2002-07-01,288303
2002-10-01,289007
2003-01-01,289609
2003-04-01,290253
2003-07-01,290974
2003-10-01,291669
2004-01-01,292237
2004-04-01,292875
2004-07-01,293603
2004-10-01,294334
2005-01-01,294957
2005-04-01,295588
2005-07-01,296340
2005-10-01,297086
2006-01-01,297737
2006-04-01,298408
2006-07-01,299180
2006-10-01,299946
2007-01-01,300610
2007-04-01,301284
2007-07-01,302063
2007-10-01,302829
2008-01-01,303494
2008-04-01,304160
2008-07-01,304902
2008-10-01,305617
2009-01-01,306237
2009-04-01,306866
2009-07-01,307573
2009-10-01,308285
2010-01-01,308902
2010-04-01,309488
2010-07-01,310148
2010-10-01,310817
2011-01-01,311376
2011-04-01,311941
2011-07-01,312606
2011-10-01,313258
2012-01-01,313813
2012-04-01,314373
2012-07-01,315030
2012-10-01,315685
2013-01-01,316195
2013-04-01,316733
2013-07-01,317396
2013-10-01,318072
2014-01-01,318644
2014-04-01,319228
2014-07-01,319918
2014-10-01,320611
2015-01-01,321168
2015-04-01,321744
2015-07-01,322428
2015-10-01,323111
2016-01-01,323689
2016-04-01,324266
2016-07-01,324925
2016-10-01,325557
2017-01-01,326053
2017-04-01,326554
2017-07-01,327140
2017-10-01,327692
2018-01-01,328091
2018-04-01,328526
2018-07-01,329040
2018-10-01,329522
2019-01-01,329868
2019-04-01,330245
2019-07-01,330729
2019-10-01,331208
2020-01-01,331534
2020-04-01,331692
2020-07-01,331841
2020-10-01,331978
2021-01-01,331949
2021-04-01,332021
2021-07-01,332297
2021-10-01,332584
2022-01-01,332749
2022-04-01,
