SizeRank,RegionName,StateName,2000,Median_Income,2001,Median_Income,2002,Median_Income,2003,Median_Income,2004,Median_Income,2005,Median_Income,2006,Median_Income,2007,Median_Income,2008,Median_Income,2009,Median_Income,2010,Median_Income,2011,Median_Income,2012,Median_Income,2013,Median_Income,2014,Median_Income,2015,Median_Income,2016,Median_Income,2017,Median_Income,2018,Median_Income,2019,Median_Income,2020,Median_Income
4,Illinois,IL,152867.50,46064.00,164887.58,46171.00,177309.00,42710.00,190191.42,45153.00,204729.75,46077.00,221655.17,48398.00,236094.75,48671.00,238439.08,52506.00,222402.11,53254.00,198749.92,52870.00,185622.58,50728.00,169315.42,50637.00,158638.17,51738.00,164188.33,57196.00,174398.00,54916.00,179720.42,60413.00,186358.58,61386.00,195813.67,64609.00,203535.33,64609.00,207681.08,74399.00,212120.58,73753.00
14,Indiana,IN,103960.50,40865.00,107560.33,40379.00,109275.17,41047.00,111030.08,42425.00,113999.00,42329.00,120271.83,42437.00,123293.42,45407.00,125086.50,47453.00,124678.92,46520.00,121290.08,44305.00,119746.00,46139.00,116256.92,44445.00,115587.25,46158.00,117248.67,50553.00,121254.67,48060.00,124929.25,51983.00,129598.75,56094.00,137043.75,58873.00,146838.17,58873.00,156597.83,66693.00,166305.25,66360.00
29,Iowa,IA,96463.25,40991.00,100926.83,40976.00,105124.42,41049.00,109430.50,41384.00,113858.75,43391.00,119143.08,46500.00,123651.50,48126.00,126239.08,48908.00,126531.75,50142.00,124936.08,50721.00,124349.25,49016.00,121388.33,50219.00,121741.58,53442.00,125125.92,54855.00,128559.25,57810.00,132385.50,60855.00,137352.75,59094.00,143215.67,63481.00,148746.50,63481.00,154165.00,66054.00,158515.25,68469.00
32,Kansas,KS,95515.50,41059.00,101356.17,41415.00,105152.92,42619.00,107798.58,44232.00,112930.58,41066.00,119324.50,42027.00,122874.92,45552.00,126848.00,48497.00,128092.50,47877.00,127441.25,44717.00,126855.50,46054.00,122733.75,46147.00,121742.33,50003.00,123461.67,51485.00,125785.00,53444.00,130222.25,54865.00,135390.00,56810.00,141772.33,57872.00,149163.42,57872.00,155594.25,73151.00,162559.82,72815.00
25,Kentucky,KY,93669.67,36265.00,98720.00,38437.00,102118.08,36762.00,105377.42,36936.00,108727.08,35610.00,113148.67,36699.00,117020.25,39485.00,118885.83,39452.00,118531.67,41148.00,117244.92,42664.00,116313.83,41104.00,112732.25,39856.00,112036.08,41086.00,113559.67,42158.00,116183.17,42786.00,119952.17,42387.00,125226.67,45369.00,132466.83,51348.00,140041.58,51348.00,146649.42,55662.00,154452.08,56525.00
24,Louisiana,LA,107814.25,30718.00,113514.17,33322.00,118512.27,34008.00,122719.92,33507.00,128536.08,36429.00,135818.83,37236.00,148819.00,36488.00,155667.25,41313.00,156621.92,39563.00,155211.00,45433.00,154509.58,39300.00,150027.42,40658.00,149259.42,39085.00,151269.08,39622.00,154641.58,42406.00,158273.83,45922.00,162215.67,42196.00,166403.67,43903.00,170439.42,43903.00,171424.83,51707.00,176318.92,50935.00
40,Maine,ME,120643.67,37266.00,133916.08,36612.00,149892.83,36853.00,167175.58,37113.00,190437.25,41329.00,213073.58,43923.00,220516.17,45642.00,219672.33,47894.00,214052.08,47228.00,199502.17,47502.00,193897.50,47931.00,189687.83,49693.00,186799.08,49158.00,190324.33,50121.00,191780.42,51710.00,196285.42,50756.00,205459.58,50856.00,217891.17,51664.00,231217.50,51664.00,241352.58,66546.00,260633.42,63440.00
18,Maryland,MD,166774.00,54535.00,177185.00,53530.00,195079.42,56407.00,221672.33,52314.00,259075.17,57103.00,314597.83,60512.00,361657.08,63668.00,366450.17,65630.00,336595.33,63711.00,294867.67,64186.00,278846.42,64201.00,262651.00,68876.00,256455.50,71836.00,269005.58,65262.00,281132.58,76165.00,282484.92,73594.00,287715.58,73760.00,297915.75,81084.00,308787.75,81084.00,315937.50,95572.00,326200.58,94384.00
13,Massachusetts,MA,219922.83,46753.00,253743.92,52253.00,288843.17,49855.00,327722.75,50955.00,360629.83,52019.00,390991.58,56017.00,390820.42,55330.00,372606.50,58463.00,349953.25,60320.00,327105.75,59373.00,328520.08,60934.00,316036.25,63313.00,308652.42,63656.00,327257.42,62963.00,345016.42,63151.00,357485.42,67861.00,374454.50,72266.00,395852.42,73227.00,419536.25,73227.00,429795.08,87707.00,450307.50,86725.00
7,Michigan,MI,126816.25,45512.00,135210.42,45047.00,141178.25,42715.00,145827.08,45022.00,151207.08,42256.00,155357.92,45933.00,155937.92,48647.00,148450.67,49370.00,133160.92,49788.00,112816.08,45994.00,104353.83,46276.00,97816.75,48879.00,98776.17,50015.00,109666.25,48801.00,122477.75,52005.00,129525.42,54203.00,137770.08,57091.00,148964.75,57700.00,161384.42,57700.00,171455.58,64119.00,181323.83,63829.00
