SizeRank,RegionName,StateName,Year,Average House Price,Median Income,Ratio
28,Connecticut,CT,2008,306444.67,64682,4.74
44,Delaware,DE,2008,272809.92,50702,5.38
49,District of Columbia,DC,2008,451857.33,55590,8.13
3,Florida,FL,2008,217620.25,44857,4.85
8,Georgia,GA,2008,171488.75,46227,3.71
39,Hawaii,HI,2008,537777.08,61521,8.74
38,Idaho,ID,2008,202128.42,47420,4.26
4,Illinois,IL,2008,222402.11,53254,4.18
14,Indiana,IN,2008,124678.92,46520,2.68
29,Iowa,IA,2008,126531.75,50142,2.52
32,Kansas,KS,2008,128092.5,47877,2.68
25,Kentucky,KY,2008,118531.67,41148,2.88
24,Louisiana,LA,2008,156621.92,39563,3.96
40,Maine,ME,2008,214052.08,47228,4.53
18,Maryland,MD,2008,336595.33,63711,5.28
13,Massachusetts,MA,2008,349953.25,60320,5.80
7,Michigan,MI,2008,133160.92,49788,2.67
20,Minnesota,MN,2008,210599.33,54925,3.83
30,Mississippi,MS,2008,116635,36446,3.20
17,Missouri,MO,2008,143741.75,46038,3.12
43,Montana,MT,2008,220297.33,42900,5.14
37,Nebraska,NE,2008,131684.25,50728,2.60
34,Nevada,NV,2008,259145.17,54744,4.73
41,New Hampshire,NH,2008,250725.67,66176,3.79
10,New Jersey,NJ,2008,369847.75,65306,5.66
35,New Mexico,NM,2008,195850.75,42102,4.65
2,New York,NY,2008,273134.75,50461,5.41
9,North Carolina,NC,2008,178163,42930,4.15
47,North Dakota,ND,2008,,49631,
6,Ohio,OH,2008,131794.5,46934,2.81
27,Oklahoma,OK,2008,108215.83,46111,2.35
26,Oregon,OR,2008,282115.67,51727,5.45
5,Pennsylvania,PA,2008,179743.17,51402,3.50
42,Rhode Island,RI,2008,289741,53241,5.44
23,South Carolina,SC,2008,174206,42155,4.13
45,South Dakota,SD,2008,157588.25,51600,3.05
16,Tennessee,TN,2008,150550,39702,3.79
1,Texas,TX,2008,146113.83,46490,3.14
