Date,Home Price Affordability Median HHI,Home Price Affordability 25% HHI,Home Price Affordability 75% HHI,Median Home Price
2021-04-15,0.87,1.78,0.48,321333.59
2021-05-15,0.88,1.8,0.48,328445.93
2021-06-15,0.91,1.85,0.5,334789.37
2021-07-15,0.9,1.83,0.49,339489.28
2021-08-15,0.9,1.84,0.49,341968.99
2021-09-15,0.91,1.86,0.5,344314.14
2021-10-15,0.92,1.88,0.51,347111.02
2021-11-15,0.92,1.89,0.51,350196.23
2021-12-15,0.93,1.89,0.51,352983.5
2022-01-15,0.96,1.96,0.53,357654.58
2022-02-15,1.01,2.07,0.56,366006.77
2022-03-15,1.1,2.26,0.61,373907.24
2022-04-15,1.16,2.37,0.64,381750.03
